dutch_name;color;behavior;shape;habitat;when_to_spot;rarity;characteristics;image_credit;image_author_reference;image_wikimedia_source;image_license;image_license_url
sneeuwuil;1;;1;;Winter;4;;;;;;
snor;;10;;5;Zomerhalfjaar;;;;;;;
sperwer;9&12;;2;1;Gehele jaar;;;;;;;
spotvogel;10;;;2;Zomerhalfjaar;;;;;;;
spreeuw;2&5;;;1&2&4&7;Gehele jaar;1;;;;;;
springhaanzanger;;10;;5&7;Zomerhalfjaar;;;;;;;
staartmees;3;;11;1;Gehele jaar;;;;;;;
stadsduif;;;3;2;Gehele jaar;1;;;;;;
steenloper;8;8;;8;Gehele jaar;;;;;;;
steenuil;;;1;4;Gehele jaar;;;;;;;
steltkluut;3;7;;;Zomerhalfjaar;4;;;;;;
stormmeeuw;;;4;7;Gehele jaar;1;;Andreas Trepte;http://photo-natur.de/;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
strandleeuwerik;10;;;9;Winterhalfjaar;;;;;;;
strandplevier;;8;;9;Zomerhalfjaar;;;;;;;
tafeleend;11;5;6;;Gehele jaar;;;;;;;
tamme gans (soepgans);1;;;;Gehele jaar;1;;;;;;
tapuit;9&13;;;7;Zomerhalfjaar;3;;;;;;
tjiftjaf;4&7;;9;2;Zomerhalfjaar;;;;;;;
topper;;5;6;;Winterhalfjaar;;;;;;;
torenvalk;11;1;2&9;4;Gehele jaar;;;;;;;
tuinfluiter;4;10;;2;Zomerhalfjaar;;;;;;;
tureluur;;7&8;;4&8;Gehele jaar;;;;;;;
turkse tortel;;;3;;Gehele jaar;1;;;;;;
vale gier;;;2;;Zomer;4;;;;;;
veldleeuwerik;4;2;;3&4;Gehele jaar;;;;;;;
velduil;;;1;7;Gehele jaar;;;;;;;
vink;7&12;;;1;Gehele jaar;;;;;;;
visarend;;4;2;6;Zomerhalfjaar;3;;Koshy Koshy;https://www.flickr.com/people/97235261@N00;;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
visdief;;4;;6&9;Zomerhalfjaar;1;;Badjoby;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
vuurgoudhaan;7;;;1&3;Gehele jaar;;;;;;;
waterhoen;11;;;2&5;Gehele jaar;;;;;;;
waterpieper;4;;;;Winterhalfjaar;;;;;;;
waterral;;10;9;5;Gehele jaar;;;;;;;
watersnip;;7;;4;Gehele jaar;;;;;;;
waterspreeuw;;;;6;Gehele jaar;4;;;;;;
wespendief;;;2;3;Zomerhalfjaar;;;;;;;
wielewaal;10;10;;3;Zomerhalfjaar;;;;;;;
wilde eend;5;;6;2;Gehele jaar;1;;Mbdortmund;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
wilde zwaan;1;;8;;Winterhalfjaar;;;;;;;
winterkoning;4;;;1;Gehele jaar;;;;;;;
wintertaling;;;6;;Winterhalfjaar;;;DickDaniels;http://theworldbirds.org/;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
witgat;3&13;7;;;Gehele jaar;1;;;;;;
witte kwikstaart;3;3;11;2&4;Gehele jaar;1;;;;;;
witwangstern;;;;9;Zomerhalfjaar;4;;;;;;
woudaap;;;;5;Zomerhalfjaar;4;;;;;;
wulp;;7&8;;4&8;Gehele jaar;;;;;;;
zanglijster;5;;;1;Gehele jaar;1;;;;;;
zeearend;;;2;;Gehele jaar;3;;;;;;
zeekoet;;;;10;Winterhalfjaar;;;;;;;
zilvermeeuw;;;4;2&7;Gehele jaar;1;;Kulac;https://commons.wikimedia.org/wiki/User:Kulac;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
zilverplevier;;8;;8;Gehele jaar;;;;;;;
zomertaling;;;6;4;Zomerhalfjaar;;;;;;;
zomertortel;11;;3;;Zomerhalfjaar;;;;;;;
zwarte ibis;2;9;9;;Gehele jaar;;;;;;;
zwarte kraai;2;;5;2&4;Gehele jaar;1;;;;;;
